id,type,finish_id,group,dnaScore,flashMode,primary_metric,target,verify,current
dna-bible-base-battleship_gray,base,battleship_gray,Bases,34,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":11,""pinFlashScore"":4,""simFlashScore"":76,""detail"":5,""mRange"":72,""rRange"":43,""ccRange"":17,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-beetle_jewel,base,beetle_jewel,Bases,29,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":26,""pinFlashScore"":5,""simFlashScore"":28,""detail"":3,""mRange"":166,""rRange"":25,""ccRange"":18,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-beetle_rainbow,base,beetle_rainbow,Bases,30,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":32,""pinFlashScore"":5,""simFlashScore"":28,""detail"":2,""mRange"":126,""rRange"":30,""ccRange"":21,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-beetle_stag,base,beetle_stag,Bases,35,mixed,rebalance-practical-sim-lighting,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":35,""pinFlashScore"":4,""simFlashScore"":15,""detail"":9,""mRange"":197,""rRange"":159,""ccRange"":67,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-bentley_silver,base,bentley_silver,Bases,26,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":25,""pinFlashScore"":6,""simFlashScore"":16,""detail"":4,""mRange"":79,""rRange"":25,""ccRange"":30,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-bioluminescent,base,bioluminescent,Bases,28,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":31,""pinFlashScore"":4,""simFlashScore"":15,""detail"":10,""mRange"":81,""rRange"":10,""ccRange"":13,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-black_chrome,base,black_chrome,Bases,30,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":34,""pinFlashScore"":5,""simFlashScore"":15,""detail"":10,""mRange"":58,""rRange"":40,""ccRange"":79,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-blackout,base,blackout,Bases,39,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":10,""pinFlashScore"":24,""simFlashScore"":90,""detail"":4,""mRange"":78,""rRange"":16,""ccRange"":23,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-blue_chrome,base,blue_chrome,Bases,26,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":30,""pinFlashScore"":4,""simFlashScore"":15,""detail"":4,""mRange"":72,""rRange"":13,""ccRange"":18,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-blue_ice_flake,base,blue_ice_flake,Bases,26,heroBand,widen-spec-channel-spectrum,"Preserve hero-band visual pop while improving diffuse rig response, crest sharpness, and dark-floor separation.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":13,""pinFlashScore"":4,""simFlashScore"":31,""detail"":6,""mRange"":97,""rRange"":20,""ccRange"":20,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-bronze_flake,base,bronze_flake,Bases,24,heroBand,widen-spec-channel-spectrum,"Preserve hero-band visual pop while improving diffuse rig response, crest sharpness, and dark-floor separation.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":22,""pinFlashScore"":4,""simFlashScore"":16,""detail"":3,""mRange"":83,""rRange"":15,""ccRange"":12,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-brushed_aluminum,base,brushed_aluminum,Bases,28,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":25,""pinFlashScore"":6,""simFlashScore"":28,""detail"":3,""mRange"":89,""rRange"":29,""ccRange"":33,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-brushed_titanium,base,brushed_titanium,Bases,31,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":25,""pinFlashScore"":36,""simFlashScore"":16,""detail"":3,""mRange"":92,""rRange"":33,""ccRange"":33,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-brushed_wrap,base,brushed_wrap,Bases,33,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":21,""pinFlashScore"":35,""simFlashScore"":17,""detail"":10,""mRange"":94,""rRange"":45,""ccRange"":25,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-bugatti_blue,base,bugatti_blue,Bases,22,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":8,""pinFlashScore"":4,""simFlashScore"":29,""detail"":1,""mRange"":52,""rRange"":15,""ccRange"":19,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-bullseye_chrome,base,bullseye_chrome,Bases,28,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":32,""pinFlashScore"":4,""simFlashScore"":15,""detail"":8,""mRange"":83,""rRange"":15,""ccRange"":35,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-burnt_headers,base,burnt_headers,Bases,40,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":34,""pinFlashScore"":4,""simFlashScore"":14,""detail"":35,""mRange"":107,""rRange"":64,""ccRange"":52,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-butterfly_monarch,base,butterfly_monarch,Bases,39,mixed,rebalance-practical-sim-lighting,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":36,""pinFlashScore"":5,""simFlashScore"":27,""detail"":12,""mRange"":208,""rRange"":134,""ccRange"":80,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-butterfly_morpho,base,butterfly_morpho,Bases,30,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":32,""pinFlashScore"":5,""simFlashScore"":28,""detail"":2,""mRange"":149,""rRange"":46,""ccRange"":23,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-candy,base,candy,Bases,29,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":24,""pinFlashScore"":4,""simFlashScore"":29,""detail"":8,""mRange"":91,""rRange"":23,""ccRange"":19,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-candy_apple,base,candy_apple,Bases,27,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":25,""pinFlashScore"":5,""simFlashScore"":15,""detail"":9,""mRange"":96,""rRange"":21,""ccRange"":22,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-candy_burgundy,base,candy_burgundy,Bases,23,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":21,""pinFlashScore"":4,""simFlashScore"":16,""detail"":3,""mRange"":63,""rRange"":17,""ccRange"":9,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-candy_chrome,base,candy_chrome,Bases,35,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":35,""pinFlashScore"":5,""simFlashScore"":29,""detail"":13,""mRange"":65,""rRange"":44,""ccRange"":83,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-candy_cobalt,base,candy_cobalt,Bases,25,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":10,""pinFlashScore"":4,""simFlashScore"":32,""detail"":8,""mRange"":85,""rRange"":3,""ccRange"":8,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-candy_emerald,base,candy_emerald,Bases,29,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":24,""pinFlashScore"":5,""simFlashScore"":30,""detail"":7,""mRange"":114,""rRange"":20,""ccRange"":16,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-carbon_base,base,carbon_base,Bases,34,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":21,""pinFlashScore"":4,""simFlashScore"":18,""detail"":29,""mRange"":126,""rRange"":30,""ccRange"":9,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-carbon_ceramic,base,carbon_ceramic,Bases,32,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":16,""pinFlashScore"":5,""simFlashScore"":31,""detail"":18,""mRange"":61,""rRange"":102,""ccRange"":20,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-carbon_weave,base,carbon_weave,Bases,32,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":18,""pinFlashScore"":4,""simFlashScore"":15,""detail"":27,""mRange"":112,""rRange"":34,""ccRange"":10,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-cc_arctic_freeze,base,cc_arctic_freeze,Bases,22,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":21,""pinFlashScore"":4,""simFlashScore"":15,""detail"":1,""mRange"":80,""rRange"":15,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_blood_wash,base,cc_blood_wash,Bases,32,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":10,""pinFlashScore"":4,""simFlashScore"":73,""detail"":1,""mRange"":80,""rRange"":40,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_bronze_heat,base,cc_bronze_heat,Bases,23,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":22,""pinFlashScore"":4,""simFlashScore"":15,""detail"":1,""mRange"":80,""rRange"":40,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_electric_cyan,base,cc_electric_cyan,Bases,22,heroBand,widen-spec-channel-spectrum,"Preserve hero-band visual pop while improving diffuse rig response, crest sharpness, and dark-floor separation.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":17,""pinFlashScore"":4,""simFlashScore"":29,""detail"":0,""mRange"":12,""rRange"":2,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_ghost_silver,base,cc_ghost_silver,Bases,22,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":26,""pinFlashScore"":4,""simFlashScore"":16,""detail"":0,""mRange"":12,""rRange"":10,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_inferno,base,cc_inferno,Bases,21,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":10,""pinFlashScore"":4,""simFlashScore"":18,""detail"":1,""mRange"":80,""rRange"":35,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_midnight,base,cc_midnight,Bases,28,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":5,""pinFlashScore"":4,""simFlashScore"":73,""detail"":0,""mRange"":8,""rRange"":0,""ccRange"":0,""darkGlossPct"":100,""darkVoidPct"":0}"
dna-bible-base-cc_royal_purple,base,cc_royal_purple,Bases,29,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":9,""pinFlashScore"":4,""simFlashScore"":62,""detail"":1,""mRange"":80,""rRange"":25,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_solar_gold,base,cc_solar_gold,Bases,25,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":29,""pinFlashScore"":4,""simFlashScore"":16,""detail"":1,""mRange"":80,""rRange"":20,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cc_toxic,base,cc_toxic,Bases,38,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":10,""pinFlashScore"":34,""simFlashScore"":76,""detail"":1,""mRange"":80,""rRange"":40,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cerakote,base,cerakote,Bases,29,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":17,""pinFlashScore"":19,""simFlashScore"":17,""detail"":7,""mRange"":123,""rRange"":109,""ccRange"":64,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cerakote_gloss,base,cerakote_gloss,Bases,22,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":11,""pinFlashScore"":5,""simFlashScore"":22,""detail"":1,""mRange"":20,""rRange"":80,""ccRange"":60,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-cerakote_pvd,base,cerakote_pvd,Bases,23,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":9,""pinFlashScore"":22,""simFlashScore"":13,""detail"":2,""mRange"":57,""rRange"":43,""ccRange"":6,""darkGlossPct"":0,""darkVoidPct"":0}"
dna-bible-base-ceramic,base,ceramic,Bases,28,mixed,widen-spec-channel-spectrum,"Improve DNA score, channel range, micro-detail, and sim flash without changing channel semantics.",Regenerate the Live DNA Bible and confirm this row improves without new gradeContext.hardBlockers.,"{""livingScore"":5,""pinFlashScore"":4,""simFlashScore"":76,""detail"":0,""mRange"":0,""rRange"":0,""ccRange"":0,""darkGlossPct"":0,""darkVoidPct"":0}"
